key,source,local_id,last_updated,url,title,authors_list,doi,publication_year
"researchgraph.org/inspirehep/Ade:2014zfo","inspirehep.net","Ade:2014zfo","20170305121627.0","https://inspirehep.net/record/Ade:2014zfo","Planck intermediate results - XXIV. Constraints on variations in fundamental constants","Ade. P.A.R. , Aghanim. N. , Arnaud. M. , Ashdown. M. , Aumont. J. , Baccigalupi. C. , Banday. A.J. , Barreiro. R.B. , Battaner. E. , Benabed. K. , Benoit-Levy. A. , Bernard. J.P. , Bersanelli. M. , Bielewicz. P. , Bond. J.R. , Borrill. J. , Bouchet. F.R. , Burigana. C. , Butler. R.C. , Calabrese. E. , Chamballu. A. , Chiang. H.C. , Christensen. P.R. , Clements. D.L. , Colombo. L.P.L. , Couchot. F. , Curto. A. , Cuttaia. F. , Danese. L. , Davies. R.D. , Davis. R.J. , de Bernardis. P. , de Rosa. A. , de Zotti. G. , Delabrouille. J. , Diego. J.M. , Dole. H. , Dore. O. , Dupac. X. , Ensslin. T.A. , Eriksen. H.K. , Fabre. O. , Finelli. F. , Forni. O. , Frailis. M. , Franceschi. E. , Galeotta. S. , Galli. S. , Ganga. K. , Giard. M. , Gonzalez-Nuevo. J. , Gorski. K.M. , Gregorio. A. , Gruppuso. A. , Hansen. F.K. , Hanson. D. , Harrison. D.L. , Henrot-Versille. S. , Hernandez-Monteagudo. C. , Herranz. D. , Hildebrandt. S.R. , Hivon. E. , Hobson. M. , Holmes. W.A. , Hornstrup. A. , Hovest. W. , Huffenberger. K.M. , Jaffe. A.H. , Jones. W.C. , Keihanen. E. , Keskitalo. R. , Kneissl. R. , Knoche. J. , Kunz. M. , Kurki-Suonio. H. , Lamarre. J.M. , Lasenby. A. , Lawrence. C.R. , Leonardi. R. , Lesgourgues. J. , Liguori. M. , Lilje. P.B. , Linden-Vornle. M. , Lopez-Caniego. M. , Lubin. P.M. , Macias-Perez. J.F. , Mandolesi. N. , Maris. M. , Martin. P.G. , Martinez-Gonzalez. E. , Masi. S. , Matarrese. S. , Mazzotta. P. , Meinhold. P.R. , Melchiorri. A. , Mendes. L. , Menegoni. E. , Mennella. A. , Migliaccio. M. , Miville-Deschenes. M.A. , Moneti. A. , Montier. L. , Morgante. G. , Moss. A. , Munshi. D. , Murphy. J.A. , Naselsky. P. , Nati. F. , Natoli. P. , Norgaard-Nielsen. H.U. , Noviello. F. , Novikov. D. , Novikov. I. , Oxborrow. C.A. , Pagano. L. , Pajot. F. , Paoletti. D. , Pasian. F. , Patanchon. G. , Perdereau. O. , Perotto. L. , Perrotta. F. , Piacentini. F. , Piat. M. , Pierpaoli. E. , Pietrobon. D. , Plaszczynski. S. , Pointecouteau. E. , Polenta. G. , Ponthieu. N. , Popa. L. , Pratt. G.W. , Prunet. S. , Rachen. J.P. , Rebolo. R. , Reinecke. M. , Remazeilles. M. , Renault. C. , Ricciardi. S. , Ristorcelli. I. , Rocha. G. , Roudier. G. , Rusholme. B. , Sandri. M. , Savini. G. , Scott. D. , Spencer. L.D. , Stolyarov. V. , Sudiwala. R. , Sutton. D. , Suur-Uski. A.S. , Sygnet. J.F. , Tauber. J.A. , Tavagnacco. D. , Terenzi. L. , Toffolatti. L. , Tomasi. M. , Tristram. M. , Tucci. M. , Uzan. J.P. , Valenziano. L. , Valiviita. J. , Van Tent. B. , Vielva. P. , Villa. F. , Wade. L.A. , Yvon. D. , Zacchei. A. , Zonca. A.","10.1051/0004-6361/201424496","2015-07-22"
"researchgraph.org/inspirehep/Li:2014mua","inspirehep.net","Li:2014mua","20160215113416.0","https://inspirehep.net/record/Li:2014mua","Discriminating dark energy models by using the statefinder hierarchy and the growth rate of matter perturbations","Li. Jun , Yang. Rongjia , Chen. Bohai","10.1088/1475-7516/2014/12/043","2014-12-19"
"researchgraph.org/inspirehep/Guarnizo:2014nua","inspirehep.net","Guarnizo:2014nua","20170221141924.0","https://inspirehep.net/record/Guarnizo:2014nua","Semi-analytical Study on the Generic Degeneracy for Galaxy Clustering Measurements","Guarnizo. Alejandro , Amendola. Luca , Kunz. Martin , Vollmer. Adrian","10.1017/S1743921314010771","2015-07-01"
"researchgraph.org/inspirehep/Vinci:2014oua","inspirehep.net","Vinci:2014oua","20151127121327.0","https://inspirehep.net/record/Vinci:2014oua","Estimating the distribution of Galaxy Morphologies on a continuous space","Vinci. Giuseppe , Freeman. Peter , Newman. Jeffrey , Wasserman. Larry , Genovese. Christopher","10.1017/S1743921314013568","2015-07-01"
"researchgraph.org/inspirehep/Lu:2014pua","inspirehep.net","Lu:2014pua","20160919181659.0","https://inspirehep.net/record/Lu:2014pua","Modified Einstein-Cartan Gravity and its Implications for Cosmology","Lu. Wei"
"researchgraph.org/inspirehep/Yagi:2014qua","inspirehep.net","Yagi:2014qua","20160818181255.0","https://inspirehep.net/record/Yagi:2014qua","Why I-Love-Q: Explaining why universality emerges in compact objects","Yagi. Kent , Stein. Leo C. , Pappas. George , Yunes. Nicolás , Apostolatos. Theocharis A.","10.1103/PhysRevD.90.063010","2014-09-23"
"researchgraph.org/inspirehep/Ichiki:2014rua","inspirehep.net","Ichiki:2014rua","20161209112158.0","https://inspirehep.net/record/Ichiki:2014rua","Test for the zero mean hypothesis in cosmology","Ichiki. Kiyotomo","10.1103/PhysRevD.90.123008","2014-12-17"
"researchgraph.org/inspirehep/Choudhury:2014sua","inspirehep.net","Choudhury:2014sua","20160526095911.0","https://inspirehep.net/record/Choudhury:2014sua","Can Effective Field Theory of inflation generate large tensor-to-scalar ratio within Randall–Sundrum single braneworld?","Choudhury. Sayantan","10.1016/j.nuclphysb.2015.02.024","2015-02-26"
"researchgraph.org/inspirehep/Gal-Yam:2014tua","inspirehep.net","Gal-Yam:2014tua","20160420214158.0","https://inspirehep.net/record/Gal-Yam:2014tua","A Wolf-Rayet-like progenitor of supernova SN 2013cu from spectral observations of a wind","Gal-Yam. Avishay , Arcavi. I. , Ofek. E.O. , Ben-Ami. S. , Cenko. S.B. , Kasliwal. M.M. , Cao. Y. , Yaron. O. , Tal. D. , Silverman. J.M. , Horesh. A. , De Cia. A. , Taddia. F. , Sollerman. J. , Perley. D. , Vreeswijk. P.M. , Kulkarni. S.R. , Nugent. P.E. , Filippenko. A.V. , Wheeler. J.C.","10.1038/nature13304"
"researchgraph.org/inspirehep/Martinon:2014uua","inspirehep.net","Martinon:2014uua","20170221141925.0","https://inspirehep.net/record/Martinon:2014uua","Rotating protoneutron stars: Spin evolution, maximum mass, and I-Love-Q relations","Martinon. Grégoire , Maselli. Andrea , Gualtieri. Leonardo , Ferrari. Valeria","10.1103/PhysRevD.90.064026","2014-09-12"
"researchgraph.org/inspirehep/Hu:2014vua","inspirehep.net","Hu:2014vua","20150211184049.0","https://inspirehep.net/record/Hu:2014vua","Test $\Lambda$CDM model with High Redshift data from Baryon Acoustic Oscillations","Hu. Yazhou , Li. Miao , Zhang. Zhenhui"
"researchgraph.org/inspirehep/Bertolami:2014wua","inspirehep.net","Bertolami:2014wua","20170228144617.0","https://inspirehep.net/record/Bertolami:2014wua","Revisiting the axion bounds from the Galactic white dwarf luminosity function","Miller Bertolami. Marcelo M. , Melendez. Brenda E. , Althaus. Leandro G. , Isern. Jordi","10.1088/1475-7516/2014/10/069","2014-10-27"
"researchgraph.org/inspirehep/Amato:2014xua","inspirehep.net","Amato:2014xua","20170221141927.0","https://inspirehep.net/record/Amato:2014xua","The origin of galactic cosmic rays","Amato. Elena","10.1142/S0218271814300134","2014"
"researchgraph.org/inspirehep/Rubtsov:2014yua","inspirehep.net","Rubtsov:2014yua","20170221141928.0","https://inspirehep.net/record/Rubtsov:2014yua","Revisiting constraints on the (pseudo)conformal universe with Planck data","Rubtsov. G.I. , Ramazanov. S.R.","10.1103/PhysRevD.91.043514","2015-02-11"
"researchgraph.org/inspirehep/Paykari:2014zua","inspirehep.net","Paykari:2014zua","20151127121326.0","https://inspirehep.net/record/Paykari:2014zua","PRISM: Sparse recovery of the primordial spectrum from WMAP9 and Planck datasets","Paykari. P. , Lanusse. F. , Starck. J. -L. , Sureau. F. , Bobin. J.","10.1017/S1743921314010837","2015-07-01"
"researchgraph.org/inspirehep/Godet:2014ava","inspirehep.net","Godet:2014ava","20170221141928.0","https://inspirehep.net/record/Godet:2014ava","The x-/gamma-ray camera ECLAIRs for the gamma-ray burst mission SVOM","Godet. O. , Nasser. G. , Atteia. J.-L. , Cordier. B. , Mandrou. P. , Barret. D. , Triou. H. , Pons. R. , Amoros. C. , Bordon. S. , Gevin. O. , Gonzalez. F. , Götz. D. , Gros. A. , Houret. B. , Lachaud. C. , Lacombe. K. , Marty. W. , Mercier. K. , Rambaud. D. , Ramon. P. , Rouaix. G. , Schanne. S. , Waegebaert. V","10.1117/12.2055507","2014-07-31"
"researchgraph.org/inspirehep/Moriya:2014bva","inspirehep.net","Moriya:2014bva","20170221141929.0","https://inspirehep.net/record/Moriya:2014bva","Constraining Physical Properties of Type IIn Supernovae through Rise Times and Peak Luminosities","Moriya. Takashi J. , Maeda. Keiichi","10.1088/2041-8205/790/2/L16","2014"
"researchgraph.org/inspirehep/Ata:2014cva","inspirehep.net","Ata:2014cva","20151127121358.0","https://inspirehep.net/record/Ata:2014cva","Non-Gaussian inference from non-linear and non-Poisson biased distributed data","Ata. Metin , Kitaura. Francisco-Shu , Müller. Volker","10.1017/S1743921314010904","2015-07-01"
"researchgraph.org/inspirehep/Chen:2014dva","inspirehep.net","Chen:2014dva","20170221141929.0","https://inspirehep.net/record/Chen:2014dva","Electrodynamics of axisymmetric pulsar magnetosphere with electron-positron discharge: a numerical experiment","Chen. Alexander Y. , Beloborodov. Andrei M.","10.1088/2041-8205/795/1/L22","2014-10-20"
"researchgraph.org/inspirehep/Senatore:2014eva","inspirehep.net","Senatore:2014eva","20170221141929.0","https://inspirehep.net/record/Senatore:2014eva","Bias in the Effective Field Theory of Large Scale Structures","Senatore. Leonardo","10.1088/1475-7516/2015/11/007","2015-11-05"
"researchgraph.org/inspirehep/Ulrych:2007fva","inspirehep.net","Ulrych:2007fva","20150921171603.0","https://inspirehep.net/record/Ulrych:2007fva","Representations of Clifford algebras with hyperbolic numbers","Ulrych. S.","10.1007/s00006-007-0057-4"
"researchgraph.org/inspirehep/Donnelly:2014gva","inspirehep.net","Donnelly:2014gva","20170221141929.0","https://inspirehep.net/record/Donnelly:2014gva","Entanglement entropy and nonabelian gauge symmetry","Donnelly. William","10.1088/0264-9381/31/21/214003","2014-10-21"
"researchgraph.org/inspirehep/Malaver:2014hva","inspirehep.net","Malaver:2014hva","20161026034852.0","https://inspirehep.net/record/Malaver:2014hva","Some new models for strange quark stars with isotropic pressure","Malaver. Manuel"
"researchgraph.org/inspirehep/Cruz:2014iva","inspirehep.net","Cruz:2014iva","20170221141930.0","https://inspirehep.net/record/Cruz:2014iva","No stable dissipative phantom scenario in the framework of a complete cosmological dynamics","Cruz. Norman , Lepe. Samuel , Leyva. Yoelsy , Peña. Francisco , Saavedra. Joel","10.1103/PhysRevD.90.083524","2014-10-21"
"researchgraph.org/inspirehep/Stoltenberg:2014jva","inspirehep.net","Stoltenberg:2014jva","20170221141930.0","https://inspirehep.net/record/Stoltenberg:2014jva","Eternal Inflation with Arrival Terminals","Stoltenberg. Henry , Albrecht. Andreas","10.1103/PhysRevD.91.023503","2015-01-06"
"researchgraph.org/inspirehep/Kajuri:2014kva","inspirehep.net","Kajuri:2014kva","20160706212949.0","https://inspirehep.net/record/Kajuri:2014kva","Path Integral representation for Polymer Quantized Scalar Fields","Kajuri. Nirmalya","10.1142/S0217751X15502048","2015-12-09"
"researchgraph.org/inspirehep/Blaga:2014lva","inspirehep.net","Blaga:2014lva","20161107091249.0","https://inspirehep.net/record/Blaga:2014lva","Circular time-like geodesics around a charged spherically symmetric dilaton black hole","Blaga. C."
"researchgraph.org/inspirehep/McCormick:2014mva","inspirehep.net","McCormick:2014mva","20170221141930.0","https://inspirehep.net/record/McCormick:2014mva","First Law of Black Hole Mechanics as a Condition for Stationarity","McCormick. Stephen","10.1103/PhysRevD.90.104034","2014-11-21"
"researchgraph.org/inspirehep/Darabi:2014nva","inspirehep.net","Darabi:2014nva","20160421163845.0","https://inspirehep.net/record/Darabi:2014nva","Stability of Einstein Static Universe over Lyra Geometry","Darabi. F. , Heydarzade. Y. , Hajkarim. F.","10.1139/cjp-2015-0312","2015-08-03"
"researchgraph.org/inspirehep/Elizalde:2014ova","inspirehep.net","Elizalde:2014ova","20170221141930.0","https://inspirehep.net/record/Elizalde:2014ova","Inhomogeneous viscous dark fluid coupled with dark matter in the FRW universe","Elizalde. E. , Obukhov. V.V. , Timoshkin. A.V.","10.1142/S0217732314501326","2014"
